Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.079
5.000 90.109 0.083
10.000 90.435 0.086
15.000 90.976 0.084
20.000 91.728 0.091
25.000 92.685 0.088
30.000 93.841 0.087
35.000 95.188 0.087
40.000 96.718 0.095
45.000 98.421 0.085
50.000 100.289 0.086
55.000 102.311 0.094
60.000 104.478 0.091
65.000 106.780 0.101
70.000 109.207 0.109
75.000 111.752 0.111
80.000 114.404 0.111
85.000 117.156 0.102
90.000 120.000 0.130
95.000 122.928 0.130
100.000 125.932 0.123
105.000 129.007 0.111
110.000 132.145 0.139
115.000 135.342 0.146
120.000 138.590 0.137
125.000 141.886 0.143
130.000 145.225 0.146
135.000 148.600 0.148
140.000 152.009 0.152
145.000 155.447 0.147
150.000 158.909 0.163
155.000 162.393 0.148
160.000 165.894 0.157
165.000 169.409 0.171
170.000 172.933 0.172
175.000 176.465 0.150
180.000 180.000 0.144
