Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.116
5.000 90.109 0.114
10.000 90.435 0.113
15.000 90.976 0.113
20.000 91.728 0.112
25.000 92.685 0.114
30.000 93.841 0.114
35.000 95.188 0.115
40.000 96.718 0.114
45.000 98.421 0.113
50.000 100.289 0.115
55.000 102.311 0.113
60.000 104.478 0.112
65.000 106.780 0.110
70.000 109.207 0.109
75.000 111.752 0.111
80.000 114.404 0.115
85.000 117.156 0.109
90.000 120.000 0.113
95.000 122.928 0.111
100.000 125.932 0.117
105.000 129.007 0.112
110.000 132.145 0.113
115.000 135.342 0.114
120.000 138.590 0.111
125.000 141.886 0.109
130.000 145.225 0.111
135.000 148.600 0.112
140.000 152.009 0.114
145.000 155.447 0.108
150.000 158.909 0.112
155.000 162.393 0.113
160.000 165.894 0.118
165.000 169.409 0.119
170.000 172.933 0.126
175.000 176.465 0.122
180.000 180.000 0.112
